date,open,high,low,close,volume,adjclose
2021/12/15,2142.149902,2164.949951,2125.02002,2135,3007827,2030.673828
2021/12/16,2115,2144.050049,2086.22998,2118.98999,3721136,2015.446289
2021/12/17,2100.5,2108,2036,2050.699951,4840318,1950.493042
2021/12/20,2063.830078,2084,2041,2058.959961,3225769,1958.349487
2021/12/21,2045,2069.129883,2012.829956,2038.199951,2628589,1938.603882
2021/12/22,2040,2063,2040,2048,1743079,1947.924927
2021/12/23,2053,2120,2025,2120,3909854,2016.40686
2021/12/24,2148.879883,2216.959961,2148.879883,2194.090088,5612959,2086.876465
2021/12/27,2168,2168,2112,2131.820068,3755590,2027.649292
2021/12/28,2133,2155.5,2116.600098,2138.179932,2765070,2033.698242
2021/12/29,2150,2154.25,2041,2041,5404902,1941.26709
2021/12/30,2041,2088.97998,2028,2075,3526136,1973.605713
2021/12/31,2070,2072.97998,2028,2050,2966491,1949.827271
2022/01/04,2055,2068.949951,2014,2051.22998,3384262,1950.997192
2022/01/05,2045,2065,2018,2024,2839551,1925.0979
2022/01/06,2022.01001,2036,1938.51001,1982.219971,5179475,1885.359375
2022/01/07,1975,1988.880005,1939.319946,1942,2981669,1847.104736
2022/01/10,1928.01001,1977,1917.550049,1966,2962670,1869.932007
2022/01/11,1948,1965,1931.170044,1940.550049,2227664,1845.725586
2022/01/12,1948,1978.800049,1948,1967,2747410,1870.883179
2022/01/13,1964.819946,1967.98999,1865.560059,1877.390015,5674735,1785.651855
2022/01/14,1877.390015,1893,1863,1867,2932164,1775.769531
2022/01/17,1868,1878.300049,1835.339966,1861.609985,2735382,1770.642944
2022/01/18,1861.680054,1908.849976,1852,1892.27002,3121577,1799.804688
2022/01/19,1919,1919,1888.880005,1912,2637094,1818.570679
2022/01/20,1916,1979.98999,1916,1969.52002,3401391,1873.280029
2022/01/21,1960,1993.48999,1951.01001,1984.98999,3081258,1887.994019
2022/01/24,1955,1984,1931.439941,1950.199951,2398580,1854.903931
2022/01/25,1943,1966,1931,1943,2551012,1848.055786
2022/01/26,1942.040039,1969,1919,1955,2390513,1859.469482
2022/01/27,2001.01001,2010.819946,1952,1965,4266516,1868.980957
2022/01/28,1955,1968,1880.01001,1887,4102011,1794.792236
2022/02/07,1900.98999,1913.560059,1850,1867.959961,3515042,1776.682617
2022/02/08,1868.880005,1872.869995,1790,1839,4171306,1749.137939
2022/02/09,1839.089966,1908,1826.969971,1895.97998,3388479,1803.333496
2022/02/10,1900,1905.900024,1857.390015,1873,2303183,1781.476318
2022/02/11,1857,1900.790039,1841,1849.969971,3374649,1759.571533
2022/02/14,1840,1877,1837.310059,1868.670044,2019587,1777.358032
2022/02/15,1868.800049,1911,1859,1890.619995,2710586,1798.235474
2022/02/16,1900,1907,1888,1892.550049,1458685,1800.071045
2022/02/17,1900.609985,1911.47998,1881,1886.98999,1821366,1794.782715
2022/02/18,1877.630005,1907.97998,1865.660034,1907,1938549,1813.814819
2022/02/21,1900,1906.900024,1868.949951,1876.98999,2081573,1785.271362
2022/02/22,1860.01001,1861,1800.02002,1807.869995,5229881,1719.528931
2022/02/23,1811.410034,1834,1800.079956,1827.01001,2811161,1737.733521
2022/02/24,1808,1813.98999,1748.099976,1764.109985,6535925,1677.907227
2022/02/25,1775,1808.280029,1775,1799.060059,3897913,1711.149536
2022/02/28,1787.060059,1797,1767,1790.400024,2892303,1702.91272
2022/03/01,1802,1863.569946,1802,1858.47998,4737930,1767.665771
2022/03/02,1840,1850.98999,1825,1844.880005,2007448,1754.730469
2022/03/03,1845.800049,1850.25,1794,1800,3154693,1712.043579
2022/03/04,1772,1792.890015,1755.099976,1780.5,3104703,1693.49646
2022/03/07,1760.199951,1768,1703.800049,1707,4915581,1623.588013
2022/03/08,1759.97998,1786.660034,1732,1753.199951,5721546,1667.530396
2022/03/09,1764.099976,1805,1721.109985,1779.180054,5643442,1692.240845
2022/03/10,1808,1821,1791,1794.430054,3646178,1706.745728
2022/03/11,1766,1777,1718.079956,1769.01001,4772677,1682.567871
2022/03/14,1730,1750,1700,1700,4900661,1616.929932
2022/03/15,1650,1685,1603,1603,8905587,1524.6698
2022/03/16,1634,1683.900024,1593,1674.949951,7759281,1593.104004
2022/03/17,1720,1755,1711.660034,1720.150024,6835196,1636.095337
2022/03/18,1718,1745,1692.280029,1707.790039,3834868,1624.339355
2022/03/21,1724,1725.650024,1695.01001,1704.300049,2787716,1621.019897
2022/03/22,1723.880005,1723.880005,1686.329956,1695,2105404,1612.174316
2022/03/23,1705,1770,1697,1752.189941,5806739,1666.569702
2022/03/24,1738,1740,1717.349976,1720.930054,2581532,1636.837158
2022/03/25,1712,1734,1685,1690,2970866,1607.418579
2022/03/28,1625,1664.800049,1604,1660.800049,5754164,1579.64563
2022/03/29,1661.5,1691.5,1661.5,1667,2593498,1585.54248
2022/03/30,1698,1730.099976,1695,1730.099976,4243343,1645.559204
2022/03/31,1720,1738.599976,1708.800049,1719,2517386,1635.001465
2022/04/01,1729.939941,1793,1721.689941,1780.01001,4486191,1693.030273
2022/04/06,1753,1788.72998,1753,1765,2781977,1678.753662
2022/04/07,1758,1785,1750.099976,1765,2019571,1678.753662
2022/04/08,1768,1788.699951,1766.540039,1784,2294132,1696.825317
2022/04/11,1770,1770,1706.030029,1720,4386359,1635.952637
2022/04/12,1729,1787.969971,1708,1782,4162956,1694.922974
2022/04/13,1767,1795,1751.079956,1769,3114766,1682.55835
2022/04/14,1788,1835.900024,1780.199951,1809,3764986,1720.603638
2022/04/15,1802.199951,1818,1795.890015,1805.98999,2104113,1717.740723
2022/04/18,1781.130005,1798,1768,1790.819946,1979315,1703.312134
2022/04/19,1800,1832.98999,1775.5,1790.300049,2420476,1702.817505
2022/04/20,1801.689941,1820,1768.680054,1797,2415572,1709.190063
2022/04/21,1790.199951,1806,1770,1779.97998,2895261,1693.001709
2022/04/22,1763,1787.880005,1760.180054,1773,2789975,1686.362915
2022/04/25,1750,1776.5,1702,1708,5365802,1624.539185
2022/04/26,1703.329956,1748.97998,1700,1732.47998,4456396,1647.822754
2022/04/27,1767.119995,1810,1767.119995,1794.920044,5740244,1707.21167
2022/04/28,1793,1845,1786.5,1835,4401006,1745.333252
2022/04/29,1836,1849,1810.97998,1828.380005,3488527,1739.036743
2022/05/05,1830,1870,1828.97998,1837,3366094,1747.235596
2022/05/06,1814.98999,1819,1781,1793,2859618,1705.385498
2022/05/09,1780,1780,1738,1752,3035182,1666.388916
2022/05/10,1720,1784.959961,1705.01001,1766.189941,4011919,1679.885498
2022/05/11,1755,1788.47998,1752,1768,3031267,1681.6073
2022/05/12,1753,1778,1750,1762.670044,2203823,1676.537598
